6.9     1.7954122689527172 0.0016387121704665225 0.805165771744214 0.0005723706805730858 2
7.0     1.8101713232960197 0.002244935083890356 0.9953185112525744 0.0012763055657778362 2
7.1     1.8183249945890705 0.0019737508198483422 1.2257048377442064 0.0016929208100007562 2
7.2     1.8234109136799077 0.0018953494631733252 1.4925181962752374 0.0014503280880956806 2
7.3     1.828316756091595 0.0018300173938338735 1.8116812539050247 0.0017850801805994487 2
6.9     3.4044159584938365 0.0026448112946823193 0.5903036155770737 0.0003641827235154718 4
7.0     3.4449644268379713 0.00369027115923495 0.7282688184897752 0.0007245707202213979 4
7.1     3.464850628764521 0.005139325675722999 0.8983950813558617 0.0012691353110587898 4
7.2     3.496850635357549 0.006034800885528022 1.1030708783043233 0.0015983829336900731 4
7.3     3.524126431643167 0.009656392872472684 1.3486924415832626 0.002738002086657413 4
7.22    6.875499632875767 0.006792809570200327 1.0020163897181638 0.0011929023891247214 8
7.26    6.8931919727742015 0.007008827785657595 1.0841471073278206 0.001926486146231189 8
7.30    6.900447114226742 0.010709320450517165 1.1741587891880714 0.0018398873662723745 8

